"filename", "language", "JSON", "comment", "blank", "total"
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\0_merge_raw\0_MeltBulk.ipynb", "JSON", 192, 0, 1, 193
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\0_merge_raw\1_CleanJPWRP.ipynb", "JSON", 343, 0, 1, 344
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\0_merge_raw\2_CleanJPWIP.ipynb", "JSON", 128, 0, 1, 129
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\0_merge_raw\3_CleanJPRP.ipynb", "JSON", 313, 0, 1, 314
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\0_merge_raw\4_CleanJPIP.ipynb", "JSON", 119, 0, 1, 120
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\0_merge_raw\5_MergeBulkStack.ipynb", "JSON", 140, 0, 1, 141
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\city.ipynb", "JSON", 61, 0, 1, 62
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\eutci.ipynb", "JSON", 247, 0, 1, 248
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\ipc.ipynb", "JSON", 142, 0, 1, 143
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\letter.ipynb", "JSON", 149, 0, 1, 150
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\ministry.ipynb", "JSON", 131, 0, 1, 132
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\nistep.ipynb", "JSON", 215, 0, 1, 216
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\1_external_prearation\schmoch.ipynb", "JSON", 688, 0, 1, 689
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\2_cleansing_filtering\1_FixSpelling.ipynb", "JSON", 370, 0, 1, 371
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\2_cleansing_filtering\2_FilteringBeforeAgg.ipynb", "JSON", 379, 0, 1, 380
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\2_cleansing_filtering\3_Classification.ipynb", "JSON", 110, 0, 1, 111
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\2_cleansing_filtering\4_FlagAddress.ipynb", "JSON", 186, 0, 1, 187
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\2_cleansing_filtering\FundamentalAnalysis.ipynb", "JSON", 160, 0, 1, 161
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\3_calculate\0_CreateRegNumFilter.ipynb", "JSON", 273, 0, 1, 274
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\3_calculate\1_Aggregate.ipynb", "JSON", 1011, 0, 1, 1012
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\3_calculate\2_Complexity.ipynb", "JSON", 2167, 0, 1, 2168
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\4_regional_focus_analysis\0_RegionalKnowledgeAll.ipynb", "JSON", 1037, 0, 1, 1038
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\4_regional_focus_analysis\1_RegionalKnowledgeSepYearTrends.ipynb", "JSON", 982, 0, 1, 983
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\4_regional_focus_analysis\2_RegionalKnowledgeSepYearCorr.ipynb", "JSON", 562, 0, 1, 563
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\5_corporate_focus_analysis\0_CorporateKnoeldgeAll.ipynb", "JSON", 564, 0, 1, 565
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\5_corporate_focus_analysis\1_CorpoarteTechAll.ipynb", "JSON", 1097, 0, 1, 1098
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\5_corporate_focus_analysis\2_CorporateKnowledgeSepYearCorr.ipynb", "JSON", 946, 0, 1, 947
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\5_corporate_focus_analysis\3_CorporateTechSepYearCorr.ipynb", "JSON", 811, 0, 1, 812
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\7_tech_comparative_analysis\0_TechComparison.ipynb", "JSON", 1699, 0, 1, 1700
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\7_tech_comparative_analysis\0_TechComparison_detailed.ipynb", "JSON", 1166, 0, 1, 1167
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\7_tech_comparative_analysis\1_TechComparison_jp.ipynb", "JSON", 2807, 0, 1, 2808
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\7_tech_comparative_analysis\2_TechComparison_jpfiltered.ipynb", "JSON", 4609, 0, 1, 4610
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\7_tech_comparative_analysis\3_TechComparison_jpfiltered_techarrange_addr.ipynb", "JSON", 585, 0, 1, 586
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\7_tech_comparative_analysis\4_ClassComparison.ipynb", "JSON", 1199, 0, 1, 1200
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\8_network_analysis\0_Projection.ipynb", "JSON", 1669, 0, 1, 1670
"c:\Users\rin\Desktop\KCIinJapaneseFirms\notebooks\8_network_analysis\1_DescriptNetwork.ipynb", "JSON", 58, 0, 1, 59
"Total", "-", 27315, 0, 36, 27351
